Date,ProductName,ProductCategory,ProductSubCategory,ProductPrice,CustomerName,CustomerEmail,CustomerAddress,CustomerPhone,CustomerSegment,SupplierName,SupplierLocation,SupplierContact,ShipperName,ShippingMethod,QuantitySold,TotalAmount,DiscountAmount,NetAmount,StockReceived,StockSold,StockOnHand
2021-11-17,Cynthia,Electronics,Headphones,872.85,Ebony Burns,thomaswilson@example.com,"8206 Johnson Road Apt. 241, Carterton, OK 31372",625-520-2123x8090,Gold,"Mack, Wright and Mclaughlin",Alexandrachester,856-399-9995x715,and Sons,Sea,22,19202.7,135.89,19066.81,424,121,303
2022-04-12,Robert,InvalidCategory,Mobile,847.43,Bradley Mitchell,lewisdavid@example.com,"9627 Kenneth Stravenue, Carriemouth, LA 26545",+1-220-484-9256x9270,Gold,"Rodriguez, Winters and Perez",Irwinhaven,6538306661,Inc,Ground,25,21185.75,191.75,20994.0,72,58,14
2022-07-08,Fred,Books,Academic,95153.0,Carol Baker,dominiccrawford@example.org,"504 William Lights Apt. 201, Claytown, VT 11299",001-947-620-6846x0770,Gold,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,Group,Ground,31,29497.43,109.35,29388.08,384,334,50
2022-02-16,Michael,Toys,Dolls,46.23,Wendy Jacobson,farmersusan@example.org,"73591 Boyer Burgs, Williammouth, NE 22037",816-829-2368,Silver,Campos-Murillo,Lawsontown,822-222-4939,LLC,Ground,53,2450.19,10.33,2439.86,56,17,39
2022-09-09,Kristine,Electronics,Headphones,228.82,Laura Lopez,johnsondebbie@example.org,"998 Bruce Course, Danielshire, MD 56719",(766)803-9569,Silver,"Mathis, Olson and Ryan",Herreraland,(906)306-1777x264,and Sons,Air,2,457.64,59.97,397.67,232,126,106
2022-05-20,Elizabeth,Clothing,Shirt,840.19,Robert Green,rodriguezallison@example.org,"853 Herrera Inlet Apt. 134, South Bradley, AS 14305",(930)477-6848,Gold,King-Rodriguez,South Lindatown,7724600682,and Sons,Sea,55,46210.45,249.08,45961.37,411,297,114
2023-05-19,Michael,InvalidCategory,Dolls,46.23,Rodney Archer,joseph44@example.net,"39702 Richard Extension Suite 218, South Jonathan, CO 53187",+1-920-304-0743,Gold,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,and Sons,Air,17,785.91,13.84,772.0699999999999,96,53,43
2023-03-16,Amy,Home & Garden,Decor,364.01,Sharon Collins,,"1281 Tammy Cliff, South Robert, NV 05958",+1-808-917-3434x152,Silver,Peck Group,West Lindafurt,+1-838-976-6137,PLC,Sea,32,11648.32,17.98,11630.34,228,38,190
2023-09-06,Angela,InvalidCategory,Action Figures,386.57,Angel Salazar,,"66138 Owen Courts Suite 098, Williamport, LA 89163",659-938-1518x8636,Bronze,"Mathis, Olson and Ryan",Herreraland,,Inc,Sea,93,35951.01,71.06,35879.950000000004,212,65,147
2022-04-17,Wanda,Toys,Educational,268.61,Shannon Olson PhD,jenniferscott@example.org,"72007 Morris Tunnel, Barnettville, WV 15918",+1-618-313-1342x401,Gold,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,Group,Air,28,7521.08,37.06,7484.019999999999,261,165,96
2021-11-03,Elizabeth,Clothing,Shirt,InvalidPrice,Cindy Juarez,snowwilliam@example.org,"77758 Lawrence Mountain, Millerport, DC 13925",(946)625-9448x9489,Bronze,"Rodriguez, Winters and Perez",Irwinhaven,6538306661,PLC,Air,8,6721.52,179.66,6541.860000000001,337,252,85
2022-09-16,Tammy,InvalidCategory,Furniture,431.82,Sarah Woodward DDS,deannaroach@example.com,"1773 Robert Keys, Port Rodney, OH 25470",(303)778-6904x282,Bronze,Peck Group,West Lindafurt,+1-838-976-6137,Group,Ground,79,34113.78,11.75,34102.03,325,41,284
2023-01-22,Justin,Electronics,Headphones,660.05,Thomas Baker,victorwiley@example.org,"110 Williams Flats, Port Bradleyside, NY 37503",940.857.2104,Silver,Lee-Miller,South Emilyview,+1-588-750-7646,Ltd,Sea,40,26402.0,48.73,26353.27,61,52,9
02-12-2023,Shannon,Home & Garden,Gardening Tools,InvalidPrice,Jeremy Ramos,christopherbrowning@example.org,"45702 Tapia Islands, New Crystal, VI 64993",+1-523-266-8201x989,Bronze,"Colon, Palmer and Welch",Antonioshire,,LLC,Ground,39,2652.3900000000003,17.51,2634.88,116,64,52
2022-06-15,Anthony,Books,Academic,InvalidPrice,Michael Hooper,ndecker@example.org,"704 Weaver Avenue, New Michaelview, DC 10340",001-610-904-9635,Gold,Lee-Miller,South Emilyview,+1-588-750-7646,Group,Sea,5,3466.95,125.07,3341.88,431,208,223
2023-06-11,Cynthia,Electronics,Headphones,InvalidPrice,Dr. Virginia Simmons,mezagail@example.org,"1215 Montoya Lodge Apt. 314, New Sherryburgh, NH 16973",+1-382-263-7733x5054,Gold,Higgins and Sons,West Johnbury,230-568-4141,and Sons,Ground,75,65463.75,205.48,65258.27,219,48,171
2023-01-18,Shawn,Electronics,Headphones,461.09,Anna Allen,ericgomez@example.net,"Unit 8279 Box 6699, DPO AP 95733",+1-544-918-6567,Gold,Soto-Rivera,West Denise,805-650-6257x5876,Group,Sea,34,15677.06,118.4,15558.66,325,307,18
2023-08-19,NonExistentProduct,InvalidCategory,Academic,951.53,Ian Freeman,dnelson@example.com,"Unit 8896 Box 5279, DPO AA 36027",001-575-628-8231x02094,Gold,Higgins and Sons,West Johnbury,230-568-4141,and Sons,Air,55,52334.15,177.51,52156.64,115,86,29
2023-07-12,Wanda,InvalidCategory,Educational,268.61,Michael Horn,owensjennifer@example.net,"3417 Copeland Estates, Port Scottland, KS 67454",+1-873-686-6882x4401,Bronze,Roman-Chambers,Dennischester,001-324-909-1637x2831,PLC,Sea,93,24980.73,34.37,24946.36,209,190,19
2021-12-05,Wanda,Toys,Educational,26861.0,Brian Smith,bbrooks@example.org,"673 Boyle Plain Suite 904, Morenotown, IA 14748",851-648-1731x138,Silver,Higgins and Sons,West Johnbury,230-568-4141,Inc,Ground,68,18265.48,62.45,18203.03,122,27,95
2023-05-21,Tammy,Home & Garden,Furniture,431.82,William Hood,hernandezjacob@example.net,"7907 Michele Field, Lake Brianside, WV 56809",001-763-477-2580x97631,Bronze,Smith PLC,Lake Candiceton,459-301-8580,Group,Air,47,20295.54,77.86,20217.68,445,350,95
2022-02-28,NonExistentProduct,Home & Garden,Gardening Tools,6801.000000000001,Connie Griffin,jasmine93@example.com,"00619 Munoz Falls, Stewartborough, MP 95003",+1-655-278-7731x19909,Bronze,Brown-Miller,Seanfort,,and Sons,Air,40,2720.4,17.32,2703.08,347,264,83
2023-08-12,Kristine,Electronics,Headphones,228.82,Shannon Arnold,morrisrichard@example.net,"1754 Lopez Trail Apt. 769, East Timothy, SD 66722",(838)934-4624,Gold,Randall-Ballard,Popeport,933.564.7029x6917,Group,Ground,4,915.28,45.7,869.5799999999999,436,299,137
2021-12-12,Fred,Books,Academic,95153.0,Michael Ellis MD,matthew94@example.com,"753 Jeffery Drive, Blakeview, CT 38419",3529751314,Bronze,"Ramirez, Hicks and Lara",Dustinmouth,853-738-3918,and Sons,Air,69,65655.56999999999,40.38,65615.18999999999,364,65,299
2021-10-28,Kristine,InvalidCategory,Headphones,228.82,Suzanne Price,,"255 Williams Trafficway, East Alyssafort, FL 12970",5055182448,Bronze,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,LLC,Air,68,15559.76,11.47,15548.29,445,147,298
2022-09-17,Pamela,Electronics,Headphones,651.11,Lisa Salazar,donna13@example.com,"1677 Dorothy Springs Apt. 434, Normanchester, CA 14103",608-928-3674x62557,Silver,Higgins and Sons,West Johnbury,230-568-4141,PLC,Air,22,14324.42,131.06,14193.36,220,219,1
2023-02-24,Pamela,Electronics,Headphones,651.11,Jared Jenkins,rdixon@example.org,"3829 Diaz Center, West David, CT 61295",250-561-0316x572,Bronze,"Gilbert, Miller and Lee",Lake Juanland,,and Sons,Sea,28,18231.08,129.95,18101.13,96,27,69
2022-12-02,Tammy,Home & Garden,Furniture,431.82,Peter Phillips,tferguson@example.com,"56902 Adriana Roads, South April, LA 13646",+1-532-519-8871x388,Gold,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898,and Sons,Sea,24,10363.68,85.05,10278.63,193,53,140
2022-04-03,Cynthia,Electronics,Headphones,872.85,Brian Ellis,adamhughes@example.net,"568 Barrett Fields Apt. 971, East Marissaville, DC 30976",(602)789-0096x599,Silver,Brown-Miller,Seanfort,(502)758-2166,Inc,Ground,81,70700.85,212.09,70488.76000000001,376,229,147
2022-05-13,Wanda,Toys,Educational,268.61,Cynthia Lawrence,vgonzalez@example.org,"63991 Roy Square, East Amyhaven, CT 44519",6004321411,Gold,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,Inc,Sea,70,18802.7,31.2,18771.5,100,41,59
2022-01-22,Justin,Electronics,Headphones,660.05,Jose Ryan,zwhite@example.net,"Unit 3741 Box 3030, DPO AA 19190",564.312.2329x813,Bronze,"Mack, Wright and Mclaughlin",Alexandrachester,,LLC,Ground,49,32342.45,57.28,32285.17,168,46,122
2022-11-27,Kristine,Electronics,Headphones,22882.0,Mark Grant,josephhayes@example.com,"942 Christine Point, Richardchester, UT 81389",+1-248-755-3177x617,Gold,White and Sons,West Scott,288-572-7043,Ltd,Air,25,5720.5,41.24,5679.26,462,376,86
2022-07-28,Kristine,Electronics,Headphones,228.82,Mary Lewis,william06@example.net,"87643 Misty Gateway Suite 252, South Jameston, AZ 73366",001-578-516-9640x847,Gold,Brown-Miller,Seanfort,(502)758-2166,Inc,Ground,68,15559.76,64.13,15495.63,81,16,65
09-06-2023,Martha,InvalidCategory,Fiction,433.1,Crystal Barker,michelle27@example.org,"26022 Johns Drive, Ashleyhaven, OK 21194",001-645-837-8780,Bronze,Higgins and Sons,West Johnbury,230-568-4141,LLC,Sea,96,41577.600000000006,120.13,41457.47000000001,382,295,87
2021-11-01,Martha,Books,Fiction,0.01,Joseph Washington,ehall@example.org,"060 Joseph View Apt. 691, Port Michaelburgh, MH 71306",831-419-2726,Silver,Randall-Ballard,Popeport,933.564.7029x6917,Inc,Sea,14,6063.400000000001,19.83,6043.570000000001,497,319,178
03-01-2023,NonExistentProduct,InvalidCategory,Dolls,46.23,Jake Conner,james61@example.com,"PSC 9779, Box 8938, APO AP 45809",4243318986,Silver,King-Rodriguez,South Lindatown,7724600682,PLC,Sea,41,1895.43,0.92,1894.51,409,408,1
2023-04-05,Cynthia,Electronics,Headphones,872.85,John Thompson,allisonpatel@example.com,"283 Laurie Plaza Apt. 721, Johnsonview, KS 50723",+1-969-954-1532x681,Bronze,Brown-Miller,Seanfort,(502)758-2166,and Sons,Air,24,20948.4,136.32,20812.08,100,40,60
2023-03-28,Cynthia,InvalidCategory,Headphones,InvalidPrice,Alex White,fmorton@example.org,"233 Stephen Well Suite 690, Amyfurt, OK 60377",001-805-942-9058x3610,Bronze,Randall-Ballard,Popeport,933.564.7029x6917,LLC,Air,23,20075.55,85.24,19990.31,488,459,29
2023-08-22,Michael,Toys,Dolls,46.23,Alicia Stewart,,"024 Johnson Fork, North Anthony, RI 20783",001-397-466-3552x3118,Silver,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,Group,Ground,99,4576.77,8.52,4568.249999999999,187,48,139
2023-01-17,Angela,Toys,Action Figures,386.57,Dylan Lee,bbarrera@example.net,"8303 Lisa River, Ashleyshire, OK 20488",485.475.9061,Silver,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,LLC,Sea,49,18941.93,21.34,18920.59,179,169,10
10-13-2022,Nathaniel,Electronics,Camera,652.35,Stephanie Williams,xnovak@example.com,"05423 Guerrero Square, Matthewton, CA 54341",+1-395-717-6131,Gold,Smith PLC,Lake Candiceton,459-301-8580,Ltd,Air,27,17613.45,6.82,17606.63,496,466,30
2023-05-25,Elizabeth,Clothing,Shirt,840.19,Taylor Herrera,xconner@example.org,"71446 Dominic Park Suite 301, South Edward, CT 16365",225.440.4724x708,Gold,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898,PLC,Air,55,46210.45,190.14,46020.310000000005,349,249,100
2022-06-30,Tammy,Home & Garden,Furniture,InvalidPrice,Jessica Lee,pittmanalisha@example.com,"4308 Thompson Hills Suite 640, Steinside, NY 27944",001-988-460-1328x70986,Gold,White and Sons,West Scott,288-572-7043,Group,Air,99,42750.18,100.77,42649.41,201,194,7
2022-10-14,Justin,Electronics,Headphones,InvalidPrice,Nicholas Chan,stevenwebb@example.org,"8167 Nicholas Glens Apt. 114, Port Roberthaven, MN 58294",(989)283-9926x922,Bronze,"Mathis, Olson and Ryan",Herreraland,,Group,Ground,55,36302.75,138.67,36164.08,435,367,68
09-13-2023,Cynthia,Electronics,Headphones,872.85,Tonya Porter,hfarrell@example.com,"Unit 6834 Box 9302, DPO AA 56680",(997)303-9394,Bronze,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740,Inc,Air,65,56735.25,190.84,56544.41,293,258,35
2022-03-15,Justin,Electronics,Headphones,660.05,Sandra Petty,garciajeremy@example.org,"3196 Erica Dam Apt. 777, Manningfurt, NV 56309",4164437069,Bronze,Randall-Ballard,Popeport,933.564.7029x6917,PLC,Air,85,56104.24999999999,101.54,56002.70999999999,369,2,367
2023-03-04,Wanda,Toys,Educational,268.61,Mr. Christopher Valentine MD,kathy89@example.com,"Unit 2933 Box 7514, DPO AE 94254",872-239-8027x8732,Silver,Soto-Rivera,West Denise,805-650-6257x5876,and Sons,Sea,96,25786.56,34.57,25751.99,291,286,5
2022-03-18,NonExistentProduct,Electronics,Headphones,228.82,Brandi Herman,gillespiekatherine@example.net,"346 David Union, South Danny, NC 74555",+1-743-840-2767,Silver,Roman-Chambers,Dennischester,001-324-909-1637x2831,LLC,Air,97,22195.54,14.41,22181.13,115,57,58
2021-12-06,Angela,InvalidCategory,Action Figures,386.57,Juan Ballard,,"3153 Sanford Manors Apt. 059, Melendezside, AK 08617",+1-612-247-4273x115,Gold,White and Sons,West Scott,288-572-7043,Inc,Ground,24,9277.68,37.86,9239.82,417,219,198
2023-06-01,Katie,Books,Non-fiction,642.11,Anna Manning,stuartsalinas@example.com,"37021 Aaron Circle, Lake David, WY 54851",+1-862-902-5398x2372,Bronze,Soto-Rivera,West Denise,805-650-6257x5876,and Sons,Ground,90,57789.9,23.02,57766.880000000005,193,102,91
2023-07-03,Fred,Books,Academic,951.53,Jo Cortez,rwilson@example.org,"277 Richard Isle Suite 928, Davisberg, WA 19364",+1-527-398-3533x66984,Bronze,King-Rodriguez,South Lindatown,7724600682,LLC,Air,10,9515.3,177.7,9337.6,205,165,40
2022-04-06,Robert,Electronics,Mobile,847.43,James Schwartz,reneeedwards@example.com,"406 West Glens Suite 342, West Frederick, ND 30912",(281)842-7438x85489,Silver,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,LLC,Sea,64,54235.52,125.72,54109.8,234,185,49
2023-04-13,Kristine,Electronics,Headphones,228.82,Jose Chapman,codywalker@example.com,"695 Jason Mission Apt. 588, East Jill, CO 41354",664-707-1648x61697,Bronze,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740,LLC,Ground,63,14415.66,50.54,14365.12,222,208,14
2023-08-02,Jamie,Books,Fiction,930.3,Crystal Davis,,"062 Amanda Plain, South Jeffrey, KS 27661",658.327.5205,Gold,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740,Group,Sea,66,61399.8,33.97,61365.83,197,57,140
2023-01-14,Angela,Toys,Action Figures,InvalidPrice,Kristen Hicks,kelseywood@example.net,"5229 Emily Tunnel, West Erik, TX 17477",485-988-2351,Bronze,White and Sons,West Scott,288-572-7043,LLC,Ground,38,14689.66,26.32,14663.34,56,52,4
2022-04-19,NonExistentProduct,Home & Garden,Decor,InvalidPrice,Yolanda Alexander,wmathews@example.com,"14472 Daniel Ferry Suite 910, Bergerview, NC 31338",391-513-3252,Silver,"Ramirez, Hicks and Lara",Dustinmouth,,and Sons,Ground,48,17472.48,106.46,17366.02,210,10,200
2022-09-24,Jamie,Books,Fiction,930.3,Andrew Frazier,curtiscraig@example.com,"918 Nancy Forge Suite 633, Lake Shelly, KY 17832",623.864.2973x9334,Silver,Brown-Miller,Seanfort,(502)758-2166,PLC,Ground,83,77214.9,236.95,76977.95,374,313,61
2023-05-31,Michael,Toys,Dolls,InvalidPrice,Roger Barber,rothmichelle@example.org,"11502 Ali Centers, Michaelland, SC 29149",(219)491-0491x50689,Gold,White and Sons,West Scott,288-572-7043,Inc,Air,26,1201.98,11.74,1190.24,79,55,24
2022-05-01,Shawn,Electronics,Headphones,461.09,Kristen Brown,stephanie85@example.com,"388 Patricia Ranch Suite 557, Steelefurt, PR 86222",706-259-6996x7586,Silver,King-Rodriguez,South Lindatown,7724600682,Ltd,Air,6,2766.54,42.97,2723.57,353,236,117
2022-09-30,Pamela,Electronics,Headphones,InvalidPrice,Elizabeth Hickman,youngjennifer@example.org,"80403 Jose Key Suite 871, North Kathleen, AS 13115",508-628-9854,Silver,Smith PLC,Lake Candiceton,459-301-8580,LLC,Ground,24,15626.64,1.18,15625.46,145,63,82
2022-08-08,Tammy,Home & Garden,Furniture,99999.99,Elizabeth Berg,pmurphy@example.com,"1728 Ronald View, East Jasonshire, PA 66044",537.216.2467,Bronze,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Ltd,Ground,46,19863.72,20.82,19842.9,338,307,31
2023-05-01,Marvin,Clothing,Shirt,995.13,Angela Payne,josephfisher@example.net,"2423 Jackson Meadows Suite 268, New Joanburgh, GU 24002",561-746-3425x06924,Gold,"Mathis, Olson and Ryan",Herreraland,(906)306-1777x264,Inc,Air,71,70654.23,286.53,70367.7,127,88,39
2023-08-05,Robert,Electronics,Mobile,0.01,Shane Porter,morganpeterson@example.org,"Unit 1716 Box 7999, DPO AP 74881",+1-626-308-7979x3236,Bronze,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Inc,Air,28,23728.04,122.03,23606.01,347,324,23
2022-07-14,Nathaniel,Electronics,Camera,652.35,James Little,wstrong@example.com,"3349 Samuel Heights, South Stevenview, AK 19144",001-837-735-7457x628,Silver,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898,Ltd,Sea,32,20875.2,48.34,20826.86,337,128,209
2022-08-03,Elizabeth,Clothing,Shirt,840.19,Brittany Lopez,mariagray@example.org,"71306 Smith Mountains, South Brittney, IN 93931",(360)523-9256x92408,Gold,"Mack, Wright and Mclaughlin",Alexandrachester,856-399-9995x715,PLC,Air,22,18484.18,9.34,18474.84,217,118,99
2023-08-13,Martha,Books,Fiction,433.1,Brent Benitez,jeffreyyates@example.net,"103 Andrea Hills, Greenbury, MP 03263",+1-658-499-4569x218,Gold,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898,and Sons,Sea,76,32915.6,109.17,32806.43,101,32,69
2023-07-07,Michael,Toys,Dolls,46.23,Linda Ballard,stephanieknapp@example.com,"6123 Morris Estate Suite 842, Port Geraldport, SC 48802",411.250.7235,Gold,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Group,Ground,5,231.15,12.88,218.27,481,341,140
02-03-2023,Jamie,Books,Fiction,InvalidPrice,Cynthia Ryan,christinejones@example.net,"918 Paul Squares Suite 524, East Paul, ND 75376",245-866-1803x767,Bronze,Higgins and Sons,West Johnbury,230-568-4141,Ltd,Air,78,72563.4,214.55,72348.84999999999,396,111,285
2023-06-26,Marvin,Clothing,Shirt,995.13,Richard Hernandez,lisahorton@example.net,"8121 Pamela Locks Apt. 835, Port Jeremyfort, TN 21971",(981)224-7666x120,Gold,Soto-Rivera,West Denise,805-650-6257x5876,and Sons,Sea,78,77620.14,249.85,77370.29,378,272,106
2021-09-29,NonExistentProduct,Books,Academic,951.53,Mr. Kyle Gonzalez MD,sarahkelly@example.com,"08017 Thomas Villages, Davidfurt, NH 51234",315.804.3175,Silver,Randall-Ballard,Popeport,933.564.7029x6917,PLC,Air,80,76122.4,94.41,76027.98999999999,450,376,74
2023-06-26,Jamie,Books,Fiction,930.3,James Mckenzie,lloyderin@example.com,"10651 Nicholas Courts Suite 311, Lake Thomas, MA 14114",001-885-225-2712,Silver,Randall-Ballard,Popeport,933.564.7029x6917,Inc,Sea,77,71633.09999999999,250.2,71382.9,144,44,100
08-02-2022,Justin,Electronics,Headphones,660.05,Dustin Rogers,olsonjoseph@example.org,"6944 Santiago Divide Suite 101, Heatherberg, NV 16258",(968)474-5095,Silver,"Rodriguez, Winters and Perez",Irwinhaven,6538306661,Inc,Air,50,33002.5,108.69,32893.81,359,323,36
2022-05-30,Shawn,Electronics,Headphones,461.09,Kathryn Rogers,nkelley@example.com,"Unit 5460 Box 0421, DPO AA 94408",(948)572-5326x328,Silver,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,Inc,Air,50,23054.5,5.43,23049.07,189,187,2
2023-09-22,Fred,Books,Academic,951.53,Joseph Bender,,"80685 Brandy Burg, North Carrie, ND 96665",+1-942-659-0167x5063,Gold,Soto-Rivera,West Denise,805-650-6257x5876,and Sons,Ground,56,53285.68,205.73,53079.95,210,105,105
2022-03-04,Pamela,Electronics,Headphones,0.01,Richard Dickerson,jason29@example.com,"880 Wood Stravenue Apt. 424, Lake Matthew, IL 79151",001-351-694-5472x5761,Silver,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Group,Ground,92,59902.12,115.31,59786.810000000005,201,60,141
2023-01-04,Michael,Toys,Dolls,46.23,Krista Reyes,gibsonwilliam@example.org,"9437 Yates Junctions Apt. 118, Taylorhaven, LA 14480",294.625.6085,Silver,Randall-Ballard,Popeport,933.564.7029x6917,LLC,Ground,38,1756.7399999999998,7.45,1749.2899999999995,173,11,162
2021-10-20,Marvin,Clothing,Shirt,995.13,Megan Harris,bponce@example.org,"4027 Gray Mission, South Mary, VT 09578",982.870.6904x491,Bronze,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740,Inc,Air,84,83590.92,188.27,83402.65,54,34,20
2022-09-19,Amy,Home & Garden,Decor,InvalidPrice,Joshua Andrade MD,trevor35@example.net,"5296 Howard Mountain Apt. 773, East Patriciaside, MT 13860",(563)567-9887x962,Bronze,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898,Ltd,Air,75,27300.75,108.49,27192.26,455,389,66
2022-03-14,Nathaniel,InvalidCategory,Camera,652.35,Timothy Pena,michaelalvarado@example.net,"0658 Michael Land, New April, IA 81145",923.269.8273x368,Gold,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,Group,Air,42,27398.7,151.38,27247.32,168,134,34
10-23-2022,NonExistentProduct,InvalidCategory,Non-fiction,642.11,Zachary Lewis,,"608 Landry Mountains, West Brandonview, NM 25119",627-803-3026x387,Bronze,Roman-Chambers,Dennischester,001-324-909-1637x2831,PLC,Air,81,52010.91,56.15,51954.76,72,64,8
2023-02-24,Marvin,Clothing,Shirt,995.13,Paul Villanueva,adrianandrews@example.net,"8055 Maria Valleys, East Lisa, HI 04093",+1-971-640-2941x83172,Silver,White and Sons,West Scott,288-572-7043,PLC,Ground,15,14926.95,241.66,14685.29,289,71,218
