Date,ProductName,ProductCategory,ProductSubCategory,ProductPrice,CustomerName,CustomerEmail,CustomerAddress,CustomerPhone,CustomerSegment,SupplierName,SupplierLocation,SupplierContact,ShipperName,ShippingMethod,QuantitySold,TotalAmount,DiscountAmount,NetAmount,StockReceived,StockSold,StockOnHand
2023-01-25,Jamie,Books,Fiction,930.3,Cynthia Torres,nancy14@example.com,"9811 Christensen Mews, Thomasberg, TN 15366",(841)652-5216x95122,Silver,Lee-Miller,South Emilyview,+1-588-750-7646,Inc,Sea,11,10233.3,160.82,10072.48,250,130,120
2022-11-02,Robert,Electronics,Mobile,847.43,Brandon Young,,"PSC 8490, Box 9669, APO AA 95271",889.384.3743,Silver,Roman-Chambers,Dennischester,001-324-909-1637x2831,Group,Sea,67,56777.81,104.73,56673.079999999994,214,113,101
2023-07-29,Shawn,Electronics,Headphones,46109.0,Kevin Powers,,"779 Mary Lights Suite 973, Port Stephenfurt, NJ 62100",001-324-475-3151x779,Silver,"Mathis, Olson and Ryan",Herreraland,,LLC,Air,51,23515.59,92.28,23423.31,412,41,371
2022-02-09,Anthony,Books,Academic,693.39,Mrs. Kimberly Cannon PhD,,"340 Coffey Walks Suite 580, Lake Blake, GA 34636",(678)603-2850x7004,Gold,"Mathis, Olson and Ryan",Herreraland,(906)306-1777x264,PLC,Air,6,4160.34,128.46,4031.88,295,93,202
2023-04-25,Jamie,Books,Fiction,930.3,Joan Mccoy,andrewsmith@example.org,"62893 Samantha Center, East Isaiahtown, NY 59347",001-760-994-3805x32824,Gold,Roman-Chambers,Dennischester,001-324-909-1637x2831,Inc,Air,40,37212.0,41.4,37170.6,356,147,209
2022-10-06,Pamela,Electronics,Headphones,651.11,Kevin Sanders,bsolis@example.net,"9766 Medina Knolls, Lake Lisa, PW 63200",(331)525-7684,Bronze,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,PLC,Ground,86,55995.46,127.55,55867.909999999996,457,133,324
2023-09-20,Elizabeth,Clothing,Shirt,840.19,Katie Ortiz,annette47@example.net,"44630 Woods Junctions, Rachelfurt, SD 32020",719-696-4441,Silver,Peck Group,West Lindafurt,+1-838-976-6137,and Sons,Sea,68,57132.920000000006,28.23,57104.69,346,269,77
2023-05-17,Fred,InvalidCategory,Academic,99999.99,David Smith,valexander@example.net,"11174 Debbie Ramp, Phamport, SD 62654",3707630116,Gold,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,Group,Sea,8,7612.24,163.58,7448.66,321,104,217
2022-04-19,NonExistentProduct,Home & Garden,Decor,InvalidPrice,Yolanda Alexander,wmathews@example.com,"14472 Daniel Ferry Suite 910, Bergerview, NC 31338",391-513-3252,Silver,"Ramirez, Hicks and Lara",Dustinmouth,,and Sons,Ground,48,17472.48,106.46,17366.02,210,10,200
2022-03-11,Wanda,Toys,Educational,268.61,Monica Ballard,xyu@example.com,"85248 Victoria Shores, Kristinton, AR 30243",001-419-522-7141x442,Silver,White and Sons,West Scott,288-572-7043,PLC,Ground,74,19877.14,58.58,19818.559999999998,457,181,276
2023-03-15,Amy,Home & Garden,Decor,99999.99,Eric Cunningham,mary61@example.org,"2227 Mendoza Inlet, New Michelle, MA 88676",001-919-318-8737x5209,Gold,Roman-Chambers,Dennischester,001-324-909-1637x2831,Ltd,Sea,58,21112.579999999998,33.66,21078.92,253,65,188
2022-07-20,Wanda,Toys,Educational,268.61,Ryan Rodriguez,leahgraham@example.com,"62191 Davis Viaduct Apt. 885, Lake Christyside, VI 71947",+1-613-838-2306x95686,Bronze,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,LLC,Ground,77,20682.97,26.29,20656.68,409,46,363
2023-07-03,Angela,Toys,Action Figures,386.57,Amy Lowe MD,murrayerin@example.com,"720 Faulkner Highway Apt. 836, North Diana, LA 62813",+1-754-909-3838,Silver,Smith PLC,Lake Candiceton,459-301-8580,LLC,Ground,67,25900.19,84.23,25815.96,486,26,460
2021-11-12,NonExistentProduct,Books,Academic,951.53,Sarah Moore,jonesandrea@example.com,"92027 Coleman Green, New Paul, MA 98487",(504)487-8794,Bronze,White and Sons,West Scott,288-572-7043,Ltd,Ground,61,58043.33,76.76,57966.57,209,47,162
2023-04-05,Cynthia,Electronics,Headphones,872.85,John Thompson,allisonpatel@example.com,"283 Laurie Plaza Apt. 721, Johnsonview, KS 50723",+1-969-954-1532x681,Bronze,Brown-Miller,Seanfort,(502)758-2166,and Sons,Air,24,20948.4,136.32,20812.08,100,40,60
2022-01-12,Shawn,Electronics,Headphones,461.09,Mr. Glenn George,tbryant@example.com,"0423 Jack Trace, Port Robert, DC 58979",5274668873,Silver,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,LLC,Air,28,12910.519999999999,51.68,12858.839999999998,327,170,157
2022-01-22,Marvin,Clothing,Shirt,0.01,Ann Kelly,zcooper@example.net,"8116 Williams Islands, Rowehaven, LA 83038",678-843-8499x3201,Bronze,Campos-Murillo,Lawsontown,822-222-4939,Inc,Air,86,85581.18,227.78,85353.4,427,169,258
2022-11-22,Katie,Books,Non-fiction,642.11,April Hammond,butlernathan@example.net,"969 Fowler Path, Sharonton, MH 15799",795.811.1299,Bronze,Smith PLC,Lake Candiceton,459-301-8580,Group,Sea,85,54579.35,23.36,54555.99,58,38,20
2022-03-25,Amy,Home & Garden,Decor,InvalidPrice,Jasmine Gillespie,kathrynrivera@example.org,"93712 Christopher Locks, North Colton, OR 35884",568.399.4652x178,Silver,White and Sons,West Scott,288-572-7043,Ltd,Air,13,4732.13,42.55,4689.58,349,161,188
2022-10-04,Martha,InvalidCategory,Fiction,433.1,Christina Turner,andreakane@example.com,"Unit 9660 Box 4141, DPO AP 96032",848-950-9983x1925,Silver,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898,Inc,Air,37,16024.7,93.32,15931.380000000001,225,192,33
10-27-2021,NonExistentProduct,Books,Fiction,433.1,Karen Johnson,pereztravis@example.net,"15204 Brenda Estates, South Pennyshire, WI 61816",(454)217-5908,Gold,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898,Group,Ground,38,16457.8,8.02,16449.78,312,194,118
2023-01-28,Pamela,Electronics,Headphones,65111.0,James Rogers,moorechristine@example.com,"03249 Stephanie Keys, Lake Ericborough, LA 53064",5716240332,Gold,Higgins and Sons,West Johnbury,230-568-4141,Ltd,Air,44,28648.84,68.57,28580.27,160,157,3
2022-01-13,Nathaniel,Electronics,Camera,65235.0,Tyler Moore,bianca14@example.net,"1794 Christopher Ports, Port Brenttown, WA 88071",+1-468-441-6197x0271,Bronze,Campos-Murillo,Lawsontown,822-222-4939,and Sons,Ground,92,60016.200000000004,20.67,59995.530000000006,147,69,78
2022-04-10,Angela,InvalidCategory,Action Figures,386.57,Amy Watkins,thomas17@example.net,"313 Jessica Summit Apt. 110, Port Debrashire, DC 35306",645.998.8051x74261,Gold,Roman-Chambers,Dennischester,001-324-909-1637x2831,and Sons,Ground,59,22807.63,92.33,22715.3,322,259,63
12-10-2021,Cynthia,Electronics,Headphones,872.85,Angela Landry,diana45@example.org,"3629 Christopher Throughway Suite 540, Lake Laurahaven, ME 70451",864-925-8941,Bronze,Higgins and Sons,West Johnbury,230-568-4141,Group,Air,73,63718.05,259.12,63458.93,154,35,119
2021-11-20,NonExistentProduct,InvalidCategory,Dolls,46.23,Joshua Oconnor,stuartkristin@example.org,"0677 Elizabeth Ridge, Heatherhaven, FL 38488",764.725.0117x9773,Gold,"Ramirez, Hicks and Lara",Dustinmouth,,PLC,Sea,55,2542.6499999999996,10.42,2532.2299999999996,55,26,29
2022-02-16,Tammy,InvalidCategory,Furniture,99999.99,Justin Johnson,katherinecarlson@example.org,"838 Short Stravenue, Porterberg, PA 29342",947-265-7164x6937,Silver,King-Rodriguez,South Lindatown,,Inc,Ground,95,41022.9,89.46,40933.44,438,22,416
2022-12-07,Pamela,Electronics,Headphones,651.11,Michael Nicholson,benjaminholmes@example.net,"604 Gross Terrace, North Alexandertown, TX 63870",876.533.4557,Bronze,King-Rodriguez,South Lindatown,7724600682,Ltd,Ground,61,39717.71,27.58,39690.13,280,134,146
2022-11-09,Nathaniel,Electronics,Camera,99999.99,Kevin Dillon,tylerfarrell@example.com,"24190 Snyder Village Apt. 107, Fosterbury, LA 25288",+1-962-259-2749x027,Gold,Brown-Miller,Seanfort,(502)758-2166,Inc,Air,54,35226.9,12.93,35213.97,223,168,55
2022-03-08,Elizabeth,Clothing,Shirt,840.19,Michelle Galvan,alanwalker@example.org,"82995 Taylor Gateway Apt. 419, Port Edward, NC 12965",001-268-913-0139x728,Silver,Campos-Murillo,Lawsontown,822-222-4939,and Sons,Ground,59,49571.21000000001,155.38,49415.83000000001,441,107,334
2023-06-10,Justin,Electronics,Headphones,660.05,Laura Bryant,,"Unit 5811 Box 5410, DPO AE 35890",001-457-707-9730,Bronze,Smith PLC,Lake Candiceton,459-301-8580,and Sons,Air,67,44223.35,151.1,44072.25,143,42,101
2022-12-04,Shawn,Electronics,Headphones,461.09,Kathy Thomas,johnfranklin@example.com,"595 Sarah Row Apt. 325, Morenoport, MH 86981",796-210-3041,Bronze,"Mathis, Olson and Ryan",Herreraland,(906)306-1777x264,Inc,Sea,74,34120.659999999996,124.19,33996.469999999994,154,151,3
2022-12-13,Martha,Books,Fiction,43310.0,Taylor Griffith,perryadrienne@example.com,"6312 Cynthia Courts, Reyesshire, DC 22818",001-505-256-2829,Gold,Campos-Murillo,Lawsontown,822-222-4939,Inc,Ground,87,37679.700000000004,89.28,37590.420000000006,479,105,374
2022-07-17,Amy,Home & Garden,Decor,0.01,Kelly Gutierrez,jerry38@example.org,"62267 Green Falls Suite 208, Melanieberg, MD 41293",519-949-8969x053,Bronze,Lee-Miller,South Emilyview,,and Sons,Sea,51,18564.51,74.9,18489.609999999997,210,18,192
2022-10-31,Angela,Toys,Action Figures,386.57,David Patel,taylor42@example.net,"61990 Jasmine Drive Suite 269, South Sara, NE 72054",(515)527-3844x8203,Bronze,Brown-Miller,Seanfort,(502)758-2166,PLC,Sea,55,21261.35,26.76,21234.59,142,20,122
2022-03-28,Marvin,Clothing,Shirt,995.13,Christine Baker,tracey73@example.net,"0017 Derrick Street Apt. 505, North Nicole, MT 12710",(770)816-3586x853,Bronze,White and Sons,West Scott,288-572-7043,Group,Sea,32,31844.16,227.24,31616.92,211,51,160
2022-11-05,Michael,InvalidCategory,Dolls,InvalidPrice,Janet Thomas,juliajones@example.org,"1739 Tracey Valley Apt. 827, New Amyport, AL 23915",+1-580-471-2838x23612,Gold,White and Sons,West Scott,288-572-7043,LLC,Ground,83,3837.0899999999997,6.69,3830.3999999999996,427,49,378
2023-01-19,NonExistentProduct,Clothing,Shirt,995.13,Leslie Salinas,gmartinez@example.org,"278 Heather Valleys Suite 503, East Mark, NY 85782",475-363-9849x0296,Silver,Higgins and Sons,West Johnbury,230-568-4141,LLC,Ground,58,57717.54,85.83,57631.71,422,187,235
2021-11-18,Robert,Electronics,Mobile,847.43,Julie Gallagher DDS,robertsharry@example.net,"610 Schaefer Shoals Apt. 660, South Sophia, GA 80749",466-342-8005x4468,Bronze,King-Rodriguez,South Lindatown,7724600682,PLC,Ground,11,9321.73,213.23,9108.5,471,357,114
05-03-2023,Shannon,Home & Garden,Gardening Tools,InvalidPrice,Larry Garcia,harrissteven@example.com,"PSC 2149, Box 6137, APO AP 27925",+1-382-225-4189x65247,Gold,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,and Sons,Air,17,1156.17,3.52,1152.65,500,355,145
12-11-2022,Tammy,Home & Garden,Furniture,431.82,Mason Allison,lmeadows@example.com,"489 Garza Lock, Port Meaganland, IL 30252",(550)462-8837x73456,Bronze,White and Sons,West Scott,288-572-7043,LLC,Sea,52,22454.64,53.79,22400.85,157,35,122
2023-01-13,Kristine,Electronics,Headphones,228.82,Patrick Hopkins,aliciaandrews@example.org,"369 Owens Rue Apt. 453, Mcdonaldburgh, SD 08635",5542580232,Gold,Randall-Ballard,Popeport,933.564.7029x6917,Group,Ground,90,20593.8,16.26,20577.54,394,346,48
05-16-2023,Robert,Electronics,Mobile,84743.0,Shawn Cline,,"543 Bowman Stream Suite 897, South Robyn, DC 19170",001-533-319-8781x219,Silver,Roman-Chambers,Dennischester,001-324-909-1637x2831,Group,Air,74,62709.82,200.44,62509.38,330,100,230
2023-09-12,Robert,Electronics,Mobile,84743.0,Andrea Brady,patricia07@example.org,"801 Kevin Court Apt. 339, Gregoryhaven, IN 82126",001-424-696-6109,Bronze,King-Rodriguez,South Lindatown,7724600682,Ltd,Ground,40,33897.2,186.81,33710.39,175,163,12
2023-03-29,Angela,Toys,Action Figures,386.57,Veronica Clark,jessica74@example.net,"005 Jennifer Rue Suite 400, New Christophermouth, VT 71003",357-210-5196x686,Bronze,"Ramirez, Hicks and Lara",Dustinmouth,853-738-3918,PLC,Ground,37,14303.09,80.37,14222.72,260,158,102
2023-06-04,Tammy,Home & Garden,Furniture,431.82,Miranda Harris,uhodge@example.net,"17402 Madison Curve, Frederickmouth, OH 77718",5956052015,Bronze,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740,Inc,Sea,13,5613.66,128.94,5484.72,491,140,351
2022-01-28,Martha,InvalidCategory,Fiction,433.1,William Brady,jillhunt@example.com,"6966 Zoe Knoll Suite 607, Thomasside, MI 52032",(258)485-6207x003,Gold,"Mack, Wright and Mclaughlin",Alexandrachester,856-399-9995x715,Inc,Ground,43,18623.3,5.83,18617.469999999998,254,116,138
2023-03-21,Shannon,Home & Garden,Gardening Tools,68.01,Phillip Wu,sue88@example.com,"4562 Kim Street Apt. 942, South Trevor, SD 06722",001-408-339-8184x47023,Silver,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Inc,Sea,85,5780.85,16.4,5764.450000000001,67,52,15
05-08-2023,NonExistentProduct,Books,Non-fiction,642.11,Paula Smith,smalldavid@example.com,"7912 Hines Port Suite 191, New Jeffrey, MS 95189",001-485-520-1951x088,Bronze,Roman-Chambers,Dennischester,001-324-909-1637x2831,and Sons,Ground,57,36600.270000000004,14.5,36585.770000000004,484,395,89
2023-06-11,Shawn,InvalidCategory,Headphones,461.09,Sean Blanchard,hmarquez@example.com,"6150 Hutchinson Cliff Suite 506, Lake Andrealand, FL 65154",505.790.9527,Gold,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,Inc,Ground,18,8299.619999999999,58.0,8241.619999999999,374,177,197
2023-06-01,Katie,Books,Non-fiction,642.11,Anna Manning,stuartsalinas@example.com,"37021 Aaron Circle, Lake David, WY 54851",+1-862-902-5398x2372,Bronze,Soto-Rivera,West Denise,805-650-6257x5876,and Sons,Ground,90,57789.9,23.02,57766.880000000005,193,102,91
2021-12-22,Jamie,InvalidCategory,Fiction,930.3,Angela Graham,adamfigueroa@example.com,"7403 Richardson Burgs Apt. 444, Port Lisa, MH 65706",(920)846-6200x11073,Gold,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,LLC,Air,13,12093.9,262.29,11831.609999999999,220,73,147
01-14-2023,Michael,Toys,Dolls,InvalidPrice,Sarah French,rwhite@example.com,"PSC 9182, Box 1274, APO AA 25807",001-552-975-3550x49988,Silver,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Ltd,Air,98,4530.54,9.42,4521.12,286,222,64
2021-11-17,Cynthia,Electronics,Headphones,872.85,Howard Griffith,isabeldonovan@example.com,"652 Adams Skyway, Stantonborough, AR 19185",642.774.0371x0803,Gold,Soto-Rivera,West Denise,805-650-6257x5876,PLC,Air,82,71573.7,217.43,71356.27,332,223,109
2022-07-21,Wanda,Toys,Educational,268.61,Erik Martinez,robertbartlett@example.com,"505 Taylor Road Suite 457, Port Pamela, MI 40152",935.221.8937x438,Silver,King-Rodriguez,South Lindatown,7724600682,Inc,Sea,5,1343.0500000000002,30.65,1312.4,125,6,119
2022-07-05,Fred,Books,Academic,99999.99,David Wilson,wwashington@example.net,"2972 Decker Flat, Lake Davidmouth, WA 87781",(449)332-8091x3406,Bronze,King-Rodriguez,South Lindatown,7724600682,LLC,Ground,53,50431.09,112.76,50318.329999999994,481,72,409
2022-05-13,Nathaniel,InvalidCategory,Camera,652.35,Kristin Hughes,uhale@example.net,"102 Stephanie Heights, Murraybury, ID 62115",(490)791-9509x6089,Gold,White and Sons,West Scott,288-572-7043,LLC,Air,21,13699.35,44.13,13655.220000000001,281,111,170
2023-08-09,Shannon,Home & Garden,Gardening Tools,68.01,Holly Deleon,kellythomas@example.net,"148 Patricia Squares, Victoriaton, SD 75974",001-489-864-2096x90088,Silver,Roman-Chambers,Dennischester,001-324-909-1637x2831,and Sons,Air,70,4760.700000000001,7.75,4752.950000000001,202,38,164
2022-06-30,Michael,InvalidCategory,Dolls,46.23,Danielle Wise,anthonyphilip@example.net,"8540 Bowen Turnpike, Port Heather, ID 86984",001-864-296-3965x8017,Bronze,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,PLC,Ground,37,1710.51,9.65,1700.86,71,11,60
2023-06-20,Pamela,InvalidCategory,Headphones,651.11,Daniel Brown,steven72@example.net,"61686 Christy Locks Suite 587, Galvanmouth, AZ 07115",+1-368-356-3137,Bronze,Lee-Miller,South Emilyview,+1-588-750-7646,Group,Ground,92,59902.12,103.64,59798.48,372,189,183
2023-03-10,Kristine,Electronics,Headphones,22882.0,Scott Lynch,garcialisa@example.org,"982 Fowler Roads, East Donbury, VI 09679",592.205.8766,Silver,Lee-Miller,South Emilyview,,PLC,Sea,46,10525.72,57.35,10468.369999999999,66,35,31
2023-05-12,Robert,Electronics,Mobile,847.43,Virginia Murray,stephanie80@example.com,"242 Martinez Prairie Apt. 294, East Robertstad, GU 52760",565-502-9529,Silver,White and Sons,West Scott,288-572-7043,LLC,Sea,59,49998.369999999995,17.49,49980.88,264,200,64
2022-01-05,NonExistentProduct,Electronics,Camera,652.35,Robert Hall,andrewsmith@example.com,"20739 Jasmin Trafficway, Johnshire, KY 59819",797-987-1137x3420,Gold,Randall-Ballard,Popeport,933.564.7029x6917,Ltd,Sea,68,44359.8,125.45,44234.350000000006,332,301,31
2023-07-02,NonExistentProduct,Clothing,Shirt,995.13,Patricia Shields,derrickyates@example.com,"641 Jason Neck, North Derek, AZ 20814",607.882.3270,Silver,"Colon, Palmer and Welch",Antonioshire,,Inc,Air,55,54732.15,34.46,54697.69,128,40,88
2023-02-16,Justin,Electronics,Headphones,660.05,Madison Ruiz,janet73@example.org,"124 Montoya Vista Apt. 485, Sarahshire, CO 14890",7127391110,Gold,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,Group,Ground,88,58084.399999999994,6.07,58078.329999999994,432,346,86
2022-08-27,Kristine,Electronics,Headphones,228.82,Christine Henry,caitlinlawrence@example.org,"282 Bender Fields, Medinaton, WI 02177",+1-284-371-0713x2176,Gold,Randall-Ballard,Popeport,933.564.7029x6917,Ltd,Air,83,18992.059999999998,42.58,18949.479999999996,112,82,30
2022-11-09,NonExistentProduct,Books,Non-fiction,64211.0,Kristen Warren,tuckercory@example.org,"53480 Fernandez Locks Suite 890, Davisfort, AR 47803",740.861.7234,Gold,"Wagner, Jackson and Holt",Port Sarahview,,Group,Sea,14,8989.54,15.97,8973.570000000002,487,104,383
2023-09-09,Michael,Toys,Dolls,46.23,Christopher Lucas,wcastro@example.com,"757 Ray Parkways, East Jessica, PW 57528",+1-226-505-2135x53462,Gold,Brown-Miller,Seanfort,(502)758-2166,and Sons,Ground,84,3883.3199999999997,9.11,3874.2099999999996,224,211,13
2023-01-30,Martha,Books,Fiction,433.1,April Stone DDS,robinsonricky@example.com,"8749 Lloyd Prairie, North Kimberlyview, UT 81171",764.896.2363,Silver,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,LLC,Ground,17,7362.700000000001,92.69,7270.010000000001,243,235,8
2023-06-26,Jamie,Books,Fiction,930.3,James Mckenzie,lloyderin@example.com,"10651 Nicholas Courts Suite 311, Lake Thomas, MA 14114",001-885-225-2712,Silver,Randall-Ballard,Popeport,933.564.7029x6917,Inc,Sea,77,71633.09999999999,250.2,71382.9,144,44,100
2022-10-17,Angela,Toys,Action Figures,386.57,Kevin Brown,cortezandre@example.net,"USCGC Adkins, FPO AE 03307",001-784-760-4135x56136,Gold,Brown-Miller,Seanfort,(502)758-2166,PLC,Sea,88,34018.159999999996,67.27,33950.89,282,191,91
2022-10-07,Justin,Electronics,Headphones,660.05,Erica Taylor,hallcynthia@example.org,"81099 Walker Prairie Suite 558, North Cassandra, WI 63614",001-251-925-3650x8826,Bronze,Peck Group,West Lindafurt,+1-838-976-6137,LLC,Sea,39,25741.949999999997,187.03,25554.92,496,214,282
2023-04-22,NonExistentProduct,Books,Academic,693.39,Jonathan Johnson,saralee@example.org,"794 Bradley Turnpike Suite 580, Marissastad, ME 59168",(659)890-3494x152,Silver,"Mack, Wright and Mclaughlin",Alexandrachester,856-399-9995x715,Group,Ground,90,62405.1,45.74,62359.36,484,281,203
2023-08-04,Pamela,Electronics,Headphones,651.11,Melinda Miller,alvarezjames@example.org,"402 Ramsey Terrace Apt. 036, Mitchellport, WI 07945",4025488803,Bronze,Soto-Rivera,West Denise,805-650-6257x5876,Inc,Sea,61,39717.71,62.71,39655.0,225,138,87
2023-06-19,Nathaniel,Electronics,Camera,652.35,Dillon Pennington DVM,todd81@example.org,"352 Cannon Street Suite 279, West Dylan, AR 33855",001-819-862-9073x0184,Silver,Roman-Chambers,Dennischester,001-324-909-1637x2831,Ltd,Ground,76,49578.6,157.95,49420.65,474,5,469
09-15-2022,Michael,Toys,Dolls,46.23,Leroy Gray,guzmanlisa@example.com,"PSC 0543, Box 9916, APO AP 78494",+1-478-925-8242,Silver,"Mack, Wright and Mclaughlin",Alexandrachester,856-399-9995x715,and Sons,Sea,45,2080.35,12.51,2067.8399999999997,483,102,381
2023-03-01,Michael,Toys,Dolls,InvalidPrice,Stacy Navarro,jsimpson@example.net,"3781 Jay Junctions Suite 352, Wilsonshire, OK 12591",812-874-5828,Bronze,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817,Ltd,Air,81,3744.6299999999997,1.13,3743.4999999999995,405,114,291
2023-05-14,Shannon,Home & Garden,Gardening Tools,68.01,Kimberly Watkins,,"PSC 7064, Box 4733, APO AE 04203",809.776.0681,Gold,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740,Inc,Ground,62,4216.62,9.58,4207.04,340,34,306
03-29-2023,Anthony,Books,Academic,693.39,Brandon Hunter,michelletyler@example.org,"PSC 4850, Box 8366, APO AP 28054",(417)519-9525x860,Silver,"Ramirez, Hicks and Lara",Dustinmouth,853-738-3918,Ltd,Sea,50,34669.5,139.61,34529.89,134,43,91
2023-09-25,Elizabeth,Clothing,Shirt,840.19,Diana Rose,kathleen61@example.org,"32841 Washington Well Apt. 527, Sandraborough, HI 58070",(580)567-6859x847,Bronze,"Rodriguez, Winters and Perez",Irwinhaven,6538306661,Inc,Sea,74,62174.060000000005,60.16,62113.9,221,159,62
